Form Name,Timestamp,Course Rating,Guidelines Before,Guidelines After,Improvement Efforts,Sharing Interest,Instructor Rating,Accessibility Rating,Navigation Rating,Current Profession,Student Count,Student Location,Online/In-Person
Online PD,1/17/2023 12:40:34,4,Average,High,5,Very High,5,5,5,Non-Formal Educator,150,Mix of Areas,Online
Online PD,1/17/2023 12:59:59,4,Low,Very High,5,Very High,5,5,5,Non-Formal Educator,500,Mix of Areas,Online
Online PD,1/17/2023 14:31:24,5,Low,High,5,High,5,5,5,Non-Formal Educator,100,Mix of Areas,Online
Online PD,1/17/2023 14:31:47,4,Average,Very High,5,Very High,5,5,5,"Non-Formal Educator, Conservation/Natural Resources Professional",600,Mix of Areas,Online
Online PD,1/17/2023 14:54:11,5,Very Low,Average,5,High,5,5,5,Non-Formal Educator,250,Rural,Online
Online PD,1/17/2023 15:57:27,5,Average,Very High,5,Very High,5,5,4,Muddy Sneaker Advisory Council,0,Rural,Online
Online PD,1/19/2023 9:15:14,5,Low,High,5,Very High,5,4,4,Non-Formal Educator,1500,Mix of Areas,Online
Online PD,1/19/2023 9:45:46,4,Low,Average,4,High,4,4,4,Non-Formal Educator,1000,Mix of Areas,Online
Online PD,1/19/2023 14:53:46,4,Average,High,4,High,5,4,5,Non-Formal Educator,6000,Mix of Areas,Online
Online K-12,8/26/2020 14:55:57,4,Low,High,5,Average,5,4,3,Non-Formal Educator,200,Mix of Areas,Online
Online K-12,8/26/2020 17:11:19,5,Very Low,Average,4,Average,5,5,3,Volunteer,8,Suburban,Online
Online K-12,8/28/2020 15:47:16,4,Average,High,4,High,5,4,3,Non-Formal Educator,200,Mix of Areas,Online
Online K-12,8/29/2020 4:36:06,5,Very Low,High,5,Very High,5,5,5,Non-Formal Educator,5,Rural,Online
Online K-12,8/30/2020 9:31:17,5,Low,High,4,High,5,5,5,College/University Instructor,100,Rural,Online
Online K-12,8/31/2020 10:56:53,5,Low,Very High,5,High,5,,4,Non-Formal Educator,73000,Mix of Areas,Online
Online K-12,8/31/2020 17:25:08,5,Average,High,5,Very High,5,5,5,Non-Formal Educator,100,Urban,Online
Online K-12,8/31/2020 23:20:32,4,Average,High,4,High,5,4,3,"Park CSR--assists EE program prep, festival info/activities, garden, turtle care, admin, park care tasks",140,Mix of Areas,Online
Online K-12,9/1/2020 13:35:01,5,Low,High,5,Very High,5,5,5,"Non-Formal Educator, Conservation/Natural Resources Professional",300,Rural,Online
Online K-12,9/1/2020 15:38:30,5,Very Low,High,5,Very High,5,5,5,Non-Formal Educator,10000,Suburban,Online
Online K-12,9/2/2020 13:43:51,4,Low,Very High,5,Very High,5,5,4,Non-Formal Educator,500,Mix of Areas,Online
Online K-12,9/2/2020 16:23:10,5,Very Low,High,5,Very High,5,5,5,Non-Formal Educator,400,Mix of Areas,Online
Online K-12,9/4/2020 10:35:40,,Very Low,Average,3,High,4,3,4,Non-Formal Educator,1000,Mix of Areas,Online
Online K-12,9/6/2020 14:49:27,4,Low,High,4,High,5,5,4,Non-Formal Educator,10,Mix of Areas,Online
